location,population,population_density,total_cases,total_deaths,Case_Rate_%_Per_Pop,Death_Rate_%_Per_Pop
South Sudan,11381377,NULL,17237,138,0.15,0.00
Mali,20855724,15.196,30476,727,0.15,0.00
Liberia,5180208,49.127,7400,294,0.14,0.01
Sudan,44909351,23.258,61929,4905,0.14,0.01
Nigeria,211400704,209.588,255341,3142,0.12,0.00
Taiwan,23855008,NULL,22992,853,0.10,0.00
Burkina Faso,21497097,70.151,20853,382,0.10,0.00
Democratic Republic of Congo,92377986,35.879,86715,1337,0.09,0.00
Sierra Leone,8141343,104.7,7674,125,0.09,0.00
Saint Helena,6095,NULL,4,0,0.07,0.00
Tanzania,61498438,64.699,33797,800,0.05,0.00
Yemen,30490639,53.508,11803,2143,0.04,0.01
Chad,16914985,11.833,7310,191,0.04,0.00
Niger,25130810,16.955,8801,308,0.04,0.00
Marshall Islands,59618,295.15,7,0,0.01,0.00
Macao,658391,20546.766,82,0,0.01,0.00
China,1444216102,147.674,147437,4638,0.01,0.00
Micronesia (country),116255,150.777,1,0,0.00,0.00
